ASV	SRR12968645	SRR12968648	SRR12968651	SRR12968653	SRR12968659	SRR12968660	SRR12968662	SRR12968669	SRR12968673	SRR12968677	SRR12968682	SRR12968690	SRR12968691	SRR12968694	SRR12968696	SRR12968698	SRR12968701	SRR12968702	SRR12968706	SRR12968709	SRR12968710	SRR12968646	SRR12968647	SRR12968649	SRR12968650	SRR12968656	SRR12968658	SRR12968664	SRR12968666	SRR12968668	SRR12968670	SRR12968672	SRR12968674	SRR12968680	SRR12968683	SRR12968684	SRR12968687	SRR12968688	SRR12968689	SRR12968693	SRR12968697	SRR12968699	SRR12968700	SRR12968703	SRR12968704	SRR12968705	SRR12968707	SRR12968708	SRR12968652	SRR12968654	SRR12968655	SRR12968657	SRR12968661	SRR12968663	SRR12968665	SRR12968667	SRR12968671	SRR12968675	SRR12968676	SRR12968678	SRR12968679	SRR12968681	SRR12968685	SRR12968686	SRR12968692	SRR12968695
ASV0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	118	0	0	3	0	0	0	0
ASV0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	0	0
ASV0048	22	15	5	31	0	0	46	0	0	0	25	6	0	0	6	0	3	7	0	0	5	0	0	0	0	26	0	0	0	3	0	2	4	0	8	0	8	20	0	11	0	4	0	5	0	0	0	0	74	0	15	35	0	0	0	6	0	7	29	0	12	0	109	0	0	0
ASV0049	49	0	10	0	0	0	56	0	0	14	0	0	19	0	0	3	0	0	48	0	30	0	0	0	0	25	0	0	0	0	30	0	0	3	0	0	0	12	0	15	9	0	0	18	0	3	14	0	0	0	0	53	0	8	3	0	0	0	25	0	0	0	56	19	4	5
ASV0050	5	6	0	0	0	0	18	0	0	15	26	24	0	0	12	4	11	0	12	18	6	16	0	0	0	18	11	0	9	7	0	0	0	0	0	0	0	34	0	0	8	4	0	0	10	0	18	17	20	0	0	0	0	0	18	0	0	36	46	16	0	17	24	7	20	11
ASV0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0052	38	0	0	46	10	0	52	0	0	0	25	0	22	0	0	0	0	0	46	0	19	0	0	0	0	29	0	0	0	0	12	0	0	0	0	0	0	18	0	0	8	23	16	0	0	0	0	16	0	0	0	0	0	0	0	8	0	22	76	0	0	15	0	12	0	0
ASV0053	0	0	0	17	3	0	0	0	0	0	17	0	5	0	50	0	0	15	0	85	0	41	0	0	6	0	0	0	17	0	8	0	0	18	0	0	0	0	0	36	23	0	0	0	0	0	10	22	0	0	0	0	0	0	11	5	0	11	0	11	38	0	59	0	0	0
ASV0054	0	0	0	5	0	0	39	0	0	0	0	12	44	0	0	5	3	5	24	0	0	0	0	0	0	8	17	0	99	0	0	0	0	0	0	3	7	0	0	20	0	8	0	0	0	0	0	2	8	0	9	66	0	4	0	1	0	31	4	0	4	9	14	9	16	32
ASV0055	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	30	0	0	12	0	0	7	11	18	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	3	0	2	23	0	0	0	41	0	0	0	3	0	210	0	5	0	0	26	10	0	17
ASV0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0
ASV0057	0	0	0	26	0	0	0	0	0	34	0	0	0	0	70	0	0	0	15	0	8	0	0	0	0	59	0	0	0	0	23	10	0	2	0	0	25	0	0	0	7	5	0	0	0	0	0	18	32	0	0	0	0	6	0	0	0	0	5	0	0	0	0	20	30	0
ASV0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0
ASV0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0
ASV0060	0	0	0	54	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0	26	0	0	0	0	0	24	0	0	0	0	0	0	0	0	16	0	0	0	0	7	0	0	9	38	2	0	0	12	88	0	0	12	0	0	4	0	0	15	29	0	8	0	0	0	0	0
ASV0061	0	4	0	0	2	0	19	0	0	0	0	29	29	0	0	0	0	0	22	0	0	37	0	0	0	0	25	0	0	0	0	7	0	0	0	0	0	22	0	13	8	0	0	31	0	0	0	21	7	0	11	20	0	0	0	0	0	28	0	0	0	0	0	0	17	12
ASV0062	60	19	0	20	0	0	0	0	0	18	34	0	0	0	0	0	61	0	0	0	0	0	0	0	8	0	0	0	0	0	28	0	0	7	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	21	58
ASV0063	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	233	0	0	0	0	6	0	0	0	0	0	0	0	15	0	10	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	49	0	0
ASV0064	9	0	0	0	0	0	24	0	0	0	0	0	0	0	17	0	0	7	10	6	7	4	0	0	0	19	5	0	6	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	6	0	0	0	46	0	2	0	0	7	18	0	0	16	5	0	5	11	67	0	0	0
ASV0065	0	0	2	16	0	0	0	0	0	12	0	2	159	0	0	0	0	0	11	0	0	0	0	0	0	0	12	0	0	0	0	0	3	0	0	0	9	0	0	7	0	0	0	6	3	0	0	4	10	3	6	0	0	0	0	4	0	5	0	3	23	0	0	6	15	0
ASV0066	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	15	0	24	12	0	31	0	0	1	0	34	0	11	12	0	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	9	33	40	0	0	0	0	7	0	0	0	14	31	0	0	0	0	0	23	0
ASV0067	0	0	0	0	0	0	73	0	0	0	0	0	0	0	41	0	11	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	0	0	0	19	0	0	17	0	0	57	30	0	0	0	0	18	2	0
ASV0068	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0069	41	11	5	8	0	0	47	0	0	3	19	0	0	0	7	4	0	17	14	0	8	6	0	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	5	3	0	0	0	6	6	0	14	0	0	0	4	0	3	18	0	0	24	10	6	0	0	0	0	4	0
ASV0070	0	0	0	12	0	0	0	0	0	9	0	0	140	0	0	8	0	0	15	11	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	1	0	24	26	0	0	3	6
ASV0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0
ASV0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0
ASV0073	4	0	0	0	0	0	7	0	0	0	22	19	0	0	5	0	5	0	12	6	2	5	0	0	0	9	7	0	4	0	0	2	0	0	0	5	0	12	0	0	0	0	0	3	9	0	12	8	11	0	0	0	0	0	11	0	0	27	24	3	0	0	9	2	10	7
ASV0074	0	0	0	0	0	0	31	0	0	0	0	7	0	0	0	0	0	0	42	0	0	0	0	0	10	0	0	0	0	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	38	0	0	0	0	0	0	0	0	0	0	0	0	25	0	50	0	0	0
ASV0075	23	0	0	0	0	0	20	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	14	0	0	0	0	0	0	8	0	0	0	20	8	0	0	0	8	0	10	0	0	0	0	0	0	20	38	0	4	0	9	0	0	20	0	0	0	34	0	0	0
ASV0076	0	0	0	27	15	0	0	0	0	3	0	9	0	0	0	1	0	5	0	0	0	27	0	0	0	36	0	0	0	9	0	0	0	0	0	3	0	0	0	0	2	0	13	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	22	4	38	0	14	0	0	0
ASV0077	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	36	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	30	2	0	8	0	0	0	0	0	0	0	0	0	5	0	12	12	0
ASV0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0079	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	174	0	0
ASV0082	0	0	0	0	0	0	0	0	0	0	26	9	0	0	8	7	0	0	13	3	13	0	0	0	0	5	20	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	49	0	0	0	0	0	0	9	0	0	23	0	0	0	0
ASV0083	0	0	0	0	0	0	0	0	0	0	0	23	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0
ASV0084	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0
ASV0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0
ASV0086	0	0	7	0	0	0	18	0	0	47	0	9	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	1	48	0	0	0	0	0	0	0	16	0	4	0	0	0	4	0	0	0	0	0	0	0	0
ASV0087	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	14	0	0	0	19	0	0	0	0	0	15	0	0	0	8	0	0	37	0	0	0	14	14
