ASV	SRR11426356	SRR11426357	SRR11426369	SRR11426371	SRR11426372	SRR11426373	SRR11426374	SRR11426377	SRR11426379	SRR11426383	SRR11426384	SRR11426385	SRR11426387	SRR11426388	SRR11426391	SRR11426394	SRR11426399	SRR11426402	SRR11426403	SRR11426404	SRR11426407	SRR11426354	SRR11426410	SRR11426412	SRR11426355	SRR11426358	SRR11426359	SRR11426360	SRR11426362	SRR11426363	SRR11426364	SRR11426366	SRR11426367	SRR11426368	SRR11426375	SRR11426380	SRR11426381	SRR11426382	SRR11426392	SRR11426395	SRR11426401	SRR11426405	SRR11426408	SRR11426409	SRR11426413	SRR11426361	SRR11426365	SRR11426370	SRR11426376	SRR11426378	SRR11426386	SRR11426389	SRR11426390	SRR11426393	SRR11426396	SRR11426397	SRR11426398	SRR11426400	SRR11426406	SRR11426411
ASV0067	0	0	7	0	0	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	10	3	0	0	151	0	15	0	0	0	0	10	0	5	7	0	11	0	0	0	0	0	0	0	402	0	0	6	15	0	0	0	0
ASV0068	0	0	0	0	0	0	0	8	0	0	0	0	34	28	16	0	0	0	6	0	0	0	0	0	21	18	35	0	0	0	0	254	0	58	0	0	0	0	0	0	0	0	0	0	60	0	56	7	0	0	0	0	0	0	0	0	0	0	52	0
ASV0069	0	0	7	0	230	0	3	0	1	0	3	0	0	0	5	5	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	263	18	0	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	16	10	10	0	0
ASV0070	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	12	0	0	0	0	72	0	0	6	0	3	0	0	0	0	363	64	0	0	0	0	0	36	11	0	0	0	14	0	0	0	0	0	10	0	0	0	0	0	8	4	0	0	0	2
ASV0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	6	0	45	0	0	0	0	28	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV0072	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	21	0	0	0	0	6	0	0	5	8	0	14	0	212	104	19	0	21	0	20	14	10	0	0	0	34	0	23	0	0	0	0	0	0	0	0	0	0	0	0	20	37	0
ASV0073	0	0	0	41	7	0	0	0	0	19	0	0	0	0	0	4	0	0	0	0	115	0	0	0	2	0	5	0	8	13	199	79	0	0	0	0	0	29	0	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	13	0	8	0	0
ASV0074	0	0	76	0	6	0	0	0	0	0	0	0	0	0	0	48	168	0	0	0	0	0	0	0	8	0	0	0	0	0	0	40	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	58	0	0	0	0	0	0	140	0
ASV0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0076	0	0	15	0	0	0	0	0	0	0	0	0	0	0	24	0	8	8	0	0	0	0	0	0	0	0	0	0	2	0	0	18	10	0	28	0	0	32	14	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0
ASV0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	351	0	0	154	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0079	15	0	0	0	0	6	0	0	0	0	233	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	123	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV0080	15	0	0	0	0	0	0	0	0	212	0	0	0	0	6	0	0	0	0	0	0	11	0	0	148	0	2	0	0	0	0	0	0	11	0	5	24	38	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	35	0	0
ASV0081	0	0	0	0	0	0	0	0	91	164	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0082	0	0	0	5	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	16	0	0	0	0	0	402	0	0	0	15	0	0	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ASV0083	0	0	0	15	0	5	0	0	0	0	7	0	22	0	0	0	5	3	0	11	13	0	12	12	10	0	4	4	0	0	238	35	0	7	0	0	0	9	0	0	12	0	9	2	4	0	0	0	0	0	0	9	6	0	0	6	11	0	9	0
ASV0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0085	0	0	0	15	0	0	6	0	8	0	0	10	25	12	18	0	47	0	0	0	0	22	18	0	0	0	10	0	0	0	0	57	0	0	0	15	0	29	0	0	46	39	0	12	38	12	0	0	19	0	0	0	0	12	0	0	0	0	0	0
ASV0086	20	0	5	0	0	0	0	0	0	48	17	0	0	0	11	0	0	0	0	11	0	44	0	0	16	0	9	0	0	0	0	28	2	19	0	8	9	0	0	0	15	13	14	9	0	0	28	0	4	0	0	12	0	0	0	11	0	7	93	5
ASV0087	0	0	0	10	0	4	0	0	0	0	5	0	0	0	0	0	7	0	0	8	44	0	25	0	0	0	0	2	9	0	118	37	0	0	0	11	2	19	0	0	10	0	67	0	9	2	4	0	0	0	0	15	6	0	4	0	22	0	16	0
ASV0088	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0090	0	0	0	0	5	0	9	1	0	0	34	0	0	0	14	8	0	18	0	12	0	0	17	9	23	4	0	0	0	0	0	34	26	0	0	0	0	0	27	23	24	25	0	0	0	6	0	2	0	0	0	0	12	9	0	24	0	0	57	0
ASV0091	0	0	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	159	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	8
ASV0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	163	0	4	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
ASV0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0094	7	0	0	19	0	0	0	0	0	12	0	0	15	0	6	0	6	19	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	24	15	0	0	0	0	0	0	0	0	0	0	0	0	30	26	0	0	13	7	0	45	0
