ASV	SRR11604871	SRR11604872	SRR11604873	SRR11604876	SRR11604877	SRR11604879	SRR11604884	SRR11604886	SRR11604887	SRR11604890	SRR11604892	SRR11604904	SRR11604905	SRR11604908	SRR11604870	SRR11604874	SRR11604878	SRR11604882	SRR11604888	SRR11604889	SRR11604891	SRR11604894	SRR11604895	SRR11604896	SRR11604900	SRR11604902	SRR11604906	SRR11604907	SRR11604910	SRR11604911	SRR11604875	SRR11604880	SRR11604881	SRR11604883	SRR11604885	SRR11604893	SRR11604897	SRR11604898	SRR11604899	SRR11604901	SRR11604903	SRR11604909
ASV0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4611	0	0	0	0
ASV0070	0	0	0	61	0	0	0	0	0	480	117	0	0	0	0	0	0	0	0	2117	0	186	114	0	0	0	0	0	0	0	1352	0	0	0	0	0	0	0	97	0	0	62
ASV0071	0	0	0	95	0	0	0	0	0	0	1265	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	2886	0	0	0	0	0	0	0	0	0	0	0
ASV0072	0	0	0	63	0	0	0	0	0	759	969	0	0	0	0	0	0	0	0	400	8	98	0	0	102	0	0	0	0	0	1865	0	0	0	0	0	100	0	156	0	0	0
ASV0073	51	0	0	0	0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0
ASV0074	0	17	0	0	36	5	16	329	59	0	57	0	106	138	2	0	14	289	0	0	0	73	429	0	210	7	0	0	0	1943	0	99	8	147	301	0	149	20	0	35	0	0
ASV0075	0	0	0	88	0	0	0	0	31	0	1436	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	2349	0	0	0	0	197	36	0	0	0	0	16
ASV0076	0	0	0	71	0	0	0	0	0	0	1332	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	2652	0	0	0	0	0	0	0	0	0	0	0
ASV0077	0	0	0	153	6	0	0	0	0	455	1311	0	0	34	0	0	0	0	0	0	0	195	0	0	36	0	0	0	0	0	1561	0	0	0	0	256	0	0	120	0	0	0
ASV0078	0	0	0	11	0	0	0	300	0	817	1019	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1684	0	0	0	0	0	0	0	81	84	0	0
ASV0079	0	0	0	42	0	0	0	0	0	387	731	0	0	0	0	0	0	0	45	207	100	84	0	755	0	0	333	0	0	0	1144	0	0	0	0	23	27	0	117	0	0	0
ASV0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	118	25	1977	0	0	0	1040	0	0	0	0	102	0	0	61	52	0	0	0	0	0	0	0	0	0
ASV0081	56	0	0	62	0	0	0	0	15	178	905	0	0	0	36	0	0	0	0	0	181	38	0	0	85	0	0	0	0	0	1607	0	0	0	0	464	97	0	111	0	14	0
ASV0082	0	0	961	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1492	183	0	0	0	0	0	0	0	0	0	1115	0	0	0	0	0	0	0	12
ASV0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3735	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0084	0	0	0	35	0	0	122	0	0	0	672	0	0	0	0	0	0	0	0	0	0	80	0	0	0	5	0	0	0	0	1905	80	0	0	0	320	0	0	97	0	0	0
ASV0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3267	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0086	0	3037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0
