ASV	ERR12050113	ERR12050114	ERR12050115	ERR12050116	ERR12050119	ERR12050128	ERR12050131	ERR12050137	ERR12050138	ERR12050140	ERR12050143	ERR12050146	ERR12050147	ERR12050150	ERR12050152	ERR12050153	ERR12050154	ERR12050158	ERR12050161	ERR12050164	ERR12050166	ERR12050179	ERR12050181	ERR12050184	ERR12050186	ERR12050194	ERR12050196	ERR12050197	ERR12050198	ERR12050199	ERR12050200	ERR12050201	ERR12050208	ERR12050211	ERR12050213	ERR12050216	ERR12050218	ERR12050220	ERR12050112	ERR12050120	ERR12050121	ERR12050122	ERR12050125	ERR12050126	ERR12050129	ERR12050132	ERR12050136	ERR12050142	ERR12050144	ERR12050145	ERR12050148	ERR12050155	ERR12050159	ERR12050162	ERR12050167	ERR12050168	ERR12050169	ERR12050170	ERR12050171	ERR12050175	ERR12050176	ERR12050177	ERR12050180	ERR12050183	ERR12050189	ERR12050193	ERR12050204	ERR12050205	ERR12050207	ERR12050210	ERR12050212	ERR12050222	ERR12050117	ERR12050118	ERR12050123	ERR12050124	ERR12050127	ERR12050130	ERR12050133	ERR12050134	ERR12050135	ERR12050139	ERR12050141	ERR12050149	ERR12050151	ERR12050156	ERR12050157	ERR12050160	ERR12050163	ERR12050165	ERR12050172	ERR12050173	ERR12050174	ERR12050178	ERR12050182	ERR12050185	ERR12050187	ERR12050188	ERR12050190	ERR12050191	ERR12050192	ERR12050195	ERR12050202	ERR12050203	ERR12050206	ERR12050209	ERR12050214	ERR12050215	ERR12050217	ERR12050219	ERR12050221
ASV0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2292	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0032	0	0	0	0	0	0	0	0	0	0	0	2486	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0034	0	0	0	652	0	0	0	0	0	0	0	0	0	27	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1673	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
ASV0035	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0036	76	219	110	0	0	0	0	0	32	116	0	3	2	0	37	83	0	0	0	0	164	13	0	0	0	0	0	0	782	7	0	0	0	0	0	0	79	0	193	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	97	0	2	59	45	0	18	0	0	0	0	7	0	0	0	0	145	0	0	0	0	0	0	0	0	15	47	0	0	0	46	29	0	0	0	0	0	0	0	28	0	0	0	146	0	0	0	8	0	23	0	0	0	0	0	0	0
ASV0037	0	0	0	0	0	0	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1598	0	39	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
ASV0038	112	0	0	0	1	0	256	0	0	618	0	0	0	0	161	119	0	69	0	0	0	0	0	0	0	0	0	0	20	6	0	0	0	0	0	0	0	0	3	0	0	0	0	35	0	0	0	0	0	33	0	0	0	0	0	30	74	0	0	13	0	0	8	0	45	6	0	0	0	0	0	0	0	0	0	0	0	96	13	0	0	0	0	0	0	15	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	89	0	70	0	0	0	0
ASV0039	0	0	0	0	0	0	0	0	0	0	0	1886	240	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV0040	26	62	299	0	12	34	0	0	0	3	0	0	0	278	14	0	9	0	0	0	58	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	43	55	0	0	0	0	0	0	22	14	19	11	4	19	0	0	0	7	17	12	50	48	9	8	23	0	0	0	0	12	0	0	0	20	0	0	21	0	0	0	0	0	20	14	0	6	47	362	73	10	0	0	0	39	2	0	5	0	92	0	157	1	0	0	0	0	0	43	80	0	20	0	0	0
