ASV	SRR14277122	SRR14277130	SRR14277133	SRR14277136	SRR14277138	SRR14277139	SRR14277140	SRR14277146	SRR14277147	SRR14277148	SRR14277149	SRR14277158	SRR14277162	SRR14277165	SRR14277166	SRR14277167	SRR14277181	SRR14277182	SRR14277190	SRR14277196	SRR14277197	SRR14277198	SRR14277203	SRR14277209	SRR14277211	SRR14277212	SRR14277214	SRR14277217	SRR14277118	SRR14277119	SRR14277120	SRR14277121	SRR14277124	SRR14277126	SRR14277127	SRR14277128	SRR14277134	SRR14277135	SRR14277137	SRR14277141	SRR14277143	SRR14277145	SRR14277150	SRR14277153	SRR14277154	SRR14277156	SRR14277160	SRR14277170	SRR14277171	SRR14277172	SRR14277173	SRR14277174	SRR14277180	SRR14277187	SRR14277188	SRR14277189	SRR14277191	SRR14277194	SRR14277202	SRR14277204	SRR14277206	SRR14277207	SRR14277210	SRR14277213	SRR14277215	SRR14277216	SRR14277123	SRR14277125	SRR14277129	SRR14277131	SRR14277132	SRR14277142	SRR14277144	SRR14277151	SRR14277152	SRR14277155	SRR14277157	SRR14277159	SRR14277161	SRR14277163	SRR14277164	SRR14277168	SRR14277169	SRR14277175	SRR14277176	SRR14277177	SRR14277178	SRR14277179	SRR14277183	SRR14277184	SRR14277185	SRR14277186	SRR14277192	SRR14277193	SRR14277195	SRR14277199	SRR14277200	SRR14277201	SRR14277205	SRR14277208	SRR14277218	SRR14277219
ASV0031	193	89	81	100	206	0	249	0	0	0	0	0	0	0	0	50	9	36	207	60	104	484	0	0	0	0	0	0	165	45	155	266	19	455	241	11	177	125	57	1307	0	0	0	0	0	0	0	55	38	0	28	55	60	63	231	235	204	36	0	0	0	0	0	0	42	61	65	45	26	65	135	0	0	4	8	0	0	2	0	0	1	0	0	153	300	43	95	49	0	292	1362	186	98	971	236	0	0	0	18	0	0	0
ASV0032	0	0	0	0	0	0	0	0	0	542	2999	0	50	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	461	0	1854	843	52	17	0	772	0	23	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	45	0	50	0	726	0	28	0	0	0	0	0	0	159	0	0	0	20	0
ASV0033	71	4	75	14	63	1681	54	0	0	11	65	440	46	16	41	37	9	19	71	35	21	88	8	0	22	67	8	0	112	52	139	266	112	74	56	66	251	13	39	103	232	365	9	23	26	16	15	151	124	0	33	50	122	0	79	150	53	6	60	42	46	11	64	33	18	14	22	52	13	36	62	110	513	0	0	28	182	129	26	72	0	1	20	116	0	227	219	87	84	9	184	73	1	21	118	74	94	31	585	13	0	39
ASV0034	27	0	16	115	111	56	111	7	0	20	0	88	0	35	18	145	16	41	86	19	32	323	9	39	0	0	0	8	86	20	67	143	0	343	252	125	129	64	52	929	15	0	38	4	0	9	0	21	26	72	15	0	33	0	127	115	39	211	35	3	0	0	52	0	27	52	48	21	38	58	53	458	104	18	7	0	132	50	14	65	3	0	0	135	254	0	32	25	0	303	504	92	23	377	79	75	112	15	9	0	37	130
ASV0035	215	0	0	0	0	0	0	651	48	43	0	0	0	0	0	0	0	0	0	259	238	0	0	0	0	16	0	0	660	1771	57	78	0	0	0	0	0	0	0	0	118	0	0	0	67	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	245	310	355	0	0	0	0	1989	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	45	0	0	0	445	0	0	0	0	0	0	0
ASV0036	246	12	9	39	93	142	33	0	0	30	41	10	3	63	44	81	0	28	228	38	51	0	22	0	59	74	0	17	134	59	430	698	72	44	123	0	32	80	19	41	57	131	6	53	15	21	75	18	16	17	0	6	39	9	83	178	15	0	42	33	15	30	66	75	273	95	193	96	5	20	37	53	34	0	0	69	52	15	14	47	79	151	2	40	24	188	112	14	130	112	174	0	18	173	87	270	72	30	56	6	12	5
ASV0037	54	0	0	19	35	0	31	0	0	0	0	44	0	29	0	0	14	195	49	11	852	9	38	59	42	46	22	0	58	0	33	64	36	0	0	0	32	0	0	0	0	27	0	0	0	16	33	0	0	10	0	17	140	14	19	22	50	0	130	0	77	0	0	1216	367	165	0	24	0	0	0	0	150	13	30	0	49	55	0	0	99	0	0	9	0	105	92	64	66	0	0	25	29	0	1254	531	93	44	0	0	43	0
ASV0038	0	0	6	0	104	415	0	0	0	0	35	133	0	0	517	0	0	0	9	0	0	129	13	0	0	0	0	0	0	0	0	0	118	0	0	1088	0	0	8	0	0	107	0	0	0	0	469	0	0	44	0	0	111	4	0	23	0	247	0	17	0	0	0	0	0	0	0	228	0	0	0	0	380	35	259	0	35	392	0	0	0	67	0	450	587	108	74	126	107	119	0	51	39	0	0	0	0	61	0	0	0	0
ASV0039	23	0	59	0	53	300	0	0	0	0	0	63	0	0	15	30	0	7	0	0	0	76	67	0	44	7	21	0	77	49	47	111	69	32	34	0	418	0	3	0	13	91	0	0	13	40	19	44	130	0	0	2	117	20	0	0	22	0	46	994	26	0	113	8	361	103	18	21	9	13	36	266	100	0	50	0	31	15	0	84	0	0	0	0	0	92	61	78	41	30	0	62	0	0	0	105	66	70	1377	49	0	0
ASV0040	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2505	3396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
